349.11%,0.07%
349.25%,0.08%
348.07%,0.09%
348.53%,0.09%
347.35%,0.10%
348.41%,0.11%
349.25%,0.11%
349.17%,0.12%
345.10%,0.13%
349.17%,0.13%
348.01%,0.14%
348.07%,0.15%
348.21%,0.16%
347.70%,0.16%
348.87%,0.17%
348.74%,0.18%
349.71%,0.18%
349.56%,0.19%
346.93%,0.20%
348.98%,0.21%
349.33%,0.21%
347.76%,0.22%
343.02%,0.01%
344.09%,0.02%
343.71%,0.02%
342.95%,0.03%
342.43%,0.04%
342.24%,0.04%
341.44%,0.05%
343.83%,0.06%
340.92%,0.06%
343.56%,0.07%
342.24%,0.08%
342.25%,0.09%
341.18%,0.09%
343.12%,0.10%
342.59%,0.11%
342.05%,0.11%
335.79%,0.12%
343.38%,0.13%
344.51%,0.13%
343.85%,0.14%
342.21%,0.15%
341.94%,0.16%
342.94%,0.16%
343.90%,0.17%
342.43%,0.18%
342.38%,0.18%
342.86%,0.19%
342.81%,0.20%
343.27%,0.21%
343.64%,0.21%
342.82%,0.22%
344.28%,0.01%
345.77%,0.02%
345.91%,0.02%
345.71%,0.03%
347.43%,0.04%
345.53%,0.04%
347.04%,0.05%
344.96%,0.06%
347.15%,0.06%
346.23%,0.07%
345.01%,0.08%
346.10%,0.09%
345.66%,0.09%
345.07%,0.10%
346.14%,0.11%
346.41%,0.11%
341.73%,0.12%
346.24%,0.13%
347.11%,0.14%
345.47%,0.14%
346.81%,0.15%
346.95%,0.16%
346.44%,0.16%
345.76%,0.17%
346.21%,0.18%
345.67%,0.18%
344.70%,0.19%
345.82%,0.20%
345.99%,0.21%
345.56%,0.21%
342.94%,0.22%
349.53%,0.01%
347.73%,0.02%
347.02%,0.02%
347.84%,0.03%
346.32%,0.04%
347.69%,0.04%
344.82%,0.05%
347.43%,0.06%
347.19%,0.06%
348.53%,0.07%
347.44%,0.08%
347.68%,0.09%
347.11%,0.09%
348.87%,0.10%
347.06%,0.11%
347.79%,0.11%
346.89%,0.12%
347.88%,0.13%
348.42%,0.13%
346.91%,0.14%
346.22%,0.15%
347.98%,0.16%
347.92%,0.16%
347.53%,0.17%
348.55%,0.18%
346.97%,0.18%
346.81%,0.19%
346.75%,0.20%
349.14%,0.20%
338.89%,0.21%
349.32%,0.22%
342.98%,0.01%
344.06%,0.02%
344.78%,0.02%
345.31%,0.03%
346.43%,0.04%
334.69%,0.04%
343.54%,0.05%
344.19%,0.06%
343.06%,0.06%
344.98%,0.07%
344.68%,0.08%
345.59%,0.09%
344.50%,0.09%
346.92%,0.10%
345.77%,0.11%
344.42%,0.11%
343.84%,0.12%
345.78%,0.13%
345.01%,0.13%
345.88%,0.14%
344.03%,0.15%
345.47%,0.16%
344.57%,0.16%
345.51%,0.17%
344.61%,0.18%
344.65%,0.18%
344.93%,0.19%
345.28%,0.20%
333.94%,0.20%
346.13%,0.21%
344.14%,0.22%
